iter	Passed	Remaining
0	1	108
1	2	127
2	4	129
3	5	131
4	6	126
5	7	117
6	9	122
7	11	127
8	12	122
9	13	118
10	14	120
11	16	122
12	17	117
13	18	115
14	21	120
15	22	118
16	23	116
17	24	113
18	26	111
19	28	113
20	30	113
21	31	110
22	32	108
23	33	107
24	35	105
25	37	105
26	38	103
27	39	100
28	40	100
29	42	99
30	43	97
31	44	95
32	46	93
33	48	93
34	49	92
35	50	90
36	51	88
37	66	108
38	68	106
39	69	104
40	70	101
41	70	97
42	73	97
43	74	95
44	75	92
45	76	90
46	79	89
47	80	86
48	81	84
49	82	82
50	83	80
51	85	78
52	86	76
53	87	74
54	88	72
55	89	70
56	91	68
57	92	67
58	94	65
59	95	63
60	96	61
61	97	60
62	99	58
63	100	56
64	101	54
65	102	52
66	104	51
67	105	49
68	107	48
69	108	46
70	109	44
71	111	43
72	112	41
73	113	39
74	115	38
75	117	37
76	118	35
77	119	33
78	122	32
79	124	31
80	125	29
81	126	27
82	128	26
83	129	24
84	130	23
85	132	21
86	133	19
87	134	18
88	136	16
89	138	15
90	139	13
91	141	12
92	143	10
93	144	9
94	146	7
95	147	6
96	149	4
97	150	3
98	151	1
99	154	0
